Model,Precision,Recall,F1,Accuracy
Logistic Regression,0.8470833791057893,0.7808607594936708,0.8126251449046265,0.7804260574251312
Multinomial Naive Bayes,0.7356148297265559,0.8881012658227848,0.8046978942056244,0.7371410929299166
Support Vector Machine (Linear Kernel),0.8543289561540174,0.7774177215189874,0.8140607602990297,0.783451682618092
Random Forest,0.8364490754929002,0.8291645569620253,0.8327908868999186,0.7969743748070393
Gradient Boosting,0.9110599702179505,0.6815189873417722,0.7797474220831886,0.7652361840074097
XGBoost,0.9049703837239248,0.7116962025316456,0.7967802278782382,0.7786353812905218
Neural Network,0.8737727910238429,0.7570632911392405,0.8112419293581467,0.7851806112997839
